"lqt","123","1232@qq.com","1313424455"
"lwt","123","1232@qq.com","1313424455"
"let","123","1232@qq.com","1313424455"
"lrt","123","1232@qq.com","1313424455"
"lut","123","1232@qq.com","1313424455"
"li","123","1232@qq.com","1313424455"
"lt","123","1232@qq.com","1313424455"
"lkt","123","1232@qq.com","1313424455"
"lyt","123","123@qq.com","12554"
"test1","123","test1","test1"
"test2","123","test2","test2"
"test3","123","test3","test3"
"test4","123","test4","test4"
"vip","vip","vip","vip"
"0","00","0","0"
